LoggerID,Date,TimeStamp,1,2,3,4
4,5/7/2019,10:58:43.1,19.5,18.25,28.75,23.48
4,5/7/2019,10:58:44.0,19.5,18.25,29,23.48
4,5/7/2019,10:58:44.1,19.5,18.25,28.75,23.48
4,5/7/2019,10:58:45.0,19.5,18.25,28.75,23.8
4,5/7/2019,10:58:45.1,19.5,18,28.75,23.48
4,5/7/2019,10:58:46.0,19.5,18,28.75,23.48
4,5/7/2019,10:58:46.1,19.25,17.75,28.75,23.48
4,5/7/2019,10:58:47.0,19.25,18,28.75,23.8
4,5/7/2019,10:58:47.1,19.25,17.75,28.5,23.8
4,5/7/2019,10:58:48.0,19.25,17.75,28.75,23.48
4,5/7/2019,10:58:48.1,19.25,17.5,28.75,23.48
4,5/7/2019,10:58:49.0,19.25,17.5,28.5,23.48
4,5/7/2019,10:58:50.0,19.25,17.5,28.75,23.48
4,5/7/2019,10:58:50.1,19.25,17.75,28.75,23.8
4,5/7/2019,10:58:51.0,19.25,18,28.5,23.48
4,5/7/2019,10:58:51.1,19.25,18,28.75,23.48
4,5/7/2019,10:58:52.0,19.25,18,28.75,23.48
4,5/7/2019,10:58:52.1,19.25,18.25,28.75,23.15
4,5/7/2019,10:58:53.0,19.25,18.25,28.75,23.48
4,5/7/2019,10:58:53.1,19.25,18.25,28.75,23.8
4,5/7/2019,10:58:54.0,19.25,18.5,28.75,23.8
4,5/7/2019,10:58:54.1,19.25,18.5,28.75,23.48
4,5/7/2019,10:58:55.0,19.25,18.5,28.75,23.48
4,5/7/2019,10:58:56.0,19.25,18.5,28.75,23.8
4,5/7/2019,10:58:56.1,19.25,18.5,28.75,23.8
4,5/7/2019,10:58:57.0,19.25,18.5,28.75,23.8
4,5/7/2019,10:58:57.1,19.25,18.25,29,23.48
4,5/7/2019,10:58:58.0,19.25,18,28.75,23.8
4,5/7/2019,10:58:58.1,19.25,18,28.75,23.48
4,5/7/2019,10:58:59.0,19.25,18,28.75,23.8
4,5/7/2019,10:58:59.1,19.25,18,28.75,23.8
4,5/7/2019,10:59:00.0,19.25,18.25,28.75,23.48
4,5/7/2019,10:59:00.1,19.25,18,28.75,23.48
4,5/7/2019,10:59:01.0,19.25,17.5,28.5,23.48
4,5/7/2019,10:59:02.0,19.25,17.75,28.5,23.48
4,5/7/2019,10:59:02.1,19.5,17.75,28.5,23.48
4,5/7/2019,10:59:03.0,19.25,17.5,28.25,23.48
4,5/7/2019,10:59:03.1,19.25,17.5,28.25,23.48
4,5/7/2019,10:59:04.0,19.25,17.75,28.25,23.48
4,5/7/2019,10:59:04.1,19.25,17.5,28.25,23.48
4,5/7/2019,10:59:05.0,19.25,17.5,28.25,23.48
4,5/7/2019,10:59:05.1,19.25,17.5,28.25,23.48
4,5/7/2019,10:59:06.0,19.25,17.25,28.25,23.48
4,5/7/2019,10:59:06.1,19.25,17.25,28.25,23.48
4,5/7/2019,10:59:07.0,19.25,17.25,28.25,23.15
4,5/7/2019,10:59:08.0,19.25,17.25,28.25,23.48
4,5/7/2019,10:59:08.1,19.5,17.5,28.25,23.48
4,5/7/2019,10:59:09.0,19.25,17.5,28,23.48
4,5/7/2019,10:59:09.1,19.25,17.5,27.75,23.8
4,5/7/2019,10:59:10.0,19,17.5,27.75,23.8
4,5/7/2019,10:59:10.1,19,17.5,27.75,23.8
4,5/7/2019,10:59:11.0,19,17.75,27.5,23.8
4,5/7/2019,10:59:11.1,19,17.5,27.5,23.8
4,5/7/2019,10:59:12.0,19,17.75,27.25,23.48
4,5/7/2019,10:59:12.1,19,17.5,27.5,23.48
4,5/7/2019,10:59:13.0,19,17.5,27.5,23.15
4,5/7/2019,10:59:14.0,19,17.5,27.5,23.8
4,5/7/2019,10:59:14.1,19,17.5,27.75,23.48
4,5/7/2019,10:59:15.0,19,17.5,27.75,23.48
4,5/7/2019,10:59:15.1,19.25,17.5,27.75,23.48
4,5/7/2019,10:59:16.0,19.25,17.5,28,23.48
4,5/7/2019,10:59:16.1,19.25,17.5,27.75,23.48
4,5/7/2019,10:59:17.0,19.25,17.5,27.75,23.15
4,5/7/2019,10:59:17.1,19.25,17.5,27.75,23.48
4,5/7/2019,10:59:18.0,19.25,17.5,27.75,23.48
4,5/7/2019,10:59:18.1,19.25,17.75,27.75,23.15
4,5/7/2019,10:59:19.0,19.25,17.75,28,23.8
4,5/7/2019,10:59:20.0,19.25,17.75,28,23.48
4,5/7/2019,10:59:20.1,19.25,17.75,28,23.48
4,5/7/2019,10:59:21.0,19.25,17.75,28,23.15
4,5/7/2019,10:59:21.1,19.5,17.5,28,23.8
4,5/7/2019,10:59:22.0,19.25,17.75,28,23.48
4,5/7/2019,10:59:22.1,19.5,18,28,23.48
4,5/7/2019,10:59:23.0,19.25,18,27.75,23.48
