FireCode,location,block,pasture,patch,year,plot,array,AirTemp,dpC,FuelMoisture,LAI,MaxC,RH,WindSpeed,VPD,ros,SoilMaxC,tHa
H.Cle.Cl.SW.18,H,Cle,Cl,SW,18,2,3,18.42,3.69,61.08,0.96,296.3333333333333,37.65,9.38,13.237905480645452,2.049162481119513,53.75,1.3055999999999999
H.Cle.Cl.SW.18,H,Cle,Cl,SW,18,3,1,18.093333333333334,3.7766666666666664,91.13,0.4,105.33333333333333,38.71,9.693333333333333,12.759025439456092,0.09758019813833813,237,0.9658666666666667
H.Cle.Cl.SW.18,H,Cle,Cl,SW,18,3,2,17.93,3.82,85.62,0.6566666666666666,216.41666666666666,39.24,9.85,12.52236540907131,2.474358296527094,26.38,1.5488
H.Day.NW.NA.19,H,Day,NW,"NA",19,1,2,13.65,1.11,72.82666666666667,2.79,218.5,42.6,7.88,9.009596665880172,0.2583009547337605,NA,3.1525333333333334
H.Day.NW.NA.19,H,Day,NW,"NA",19,1,3,13.65,1.11,65.73,1.7833333333333332,345.4166666666667,42.6,7.88,9.009596665880172,3.0565602486512873,NA,3.599466666666667
H.Day.NW.NA.19,H,Day,NW,"NA",19,2,1,13.65,1.11,102.26666666666667,3.66,182.33333333333334,42.6,7.88,9.009596665880172,0.349467790455645,NA,2.9504
H.Day.NW.NA.19,H,Day,NW,"NA",19,2,3,13.65,1.11,47.56666666666666,2.65,303.4166666666667,42.6,7.88,9.009596665880172,0.2914911912558112,NA,3.3178666666666667
H.Day.NW.NA.19,H,Day,NW,"NA",19,3,1,14.12,1.11,57.97,1.4466666666666668,228.16666666666666,41.15,9.19,9.494128444008902,0.9743547036924352,NA,1.9264
H.Day.NW.NA.19,H,Day,NW,"NA",19,3,3,14.12,1.11,71.35333333333332,2.6133333333333333,278.5833333333333,41.15,9.19,9.494128444008902,1.5342642764846588,NA,2.2805333333333335
H.Fit.Fi.NE.17,H,Fit,Fi,NE,17,1,1,6.23,-20.67,NA,0.8066666666666666,216.25,13,10,8.327971099958877,3.7115374447909852,388.5,NA
H.Fit.Fi.NE.17,H,Fit,Fi,NE,17,1,2,6.23,-20.67,NA,0.74,188.41666666666666,13,10,8.327971099958877,0.7278209715899383,20.25,NA
H.Fit.Fi.NE.17,H,Fit,Fi,NE,17,2,1,6.23,-20.67,NA,0.44666666666666666,101.5,13,10,8.327971099958877,1.1100963975558082,21,NA
H.Fit.Fi.NE.17,H,Fit,Fi,NE,17,2,2,6.23,-20.67,NA,0.37,63.666666666666664,13,10,8.327971099958877,4.228568871614672,15.75,NA
H.Fit.Fi.NE.17,H,Fit,Fi,NE,17,2,3,6.62,-21.11,NA,0.5800000000000001,101.25,12.22,10.88,8.63156926129313,0.2809634207876857,24.75,NA
H.Fit.Fi.NW.18,H,Fit,Fi,NW,18,1,1,18.88,1.37,73.57333333333334,0.4633333333333333,290.5833333333333,31.17,15.87,15.069408937329708,1.725354093373257,26.7,1.6522666666666666
H.Fit.Fi.NW.18,H,Fit,Fi,NW,18,1,2,18.88,1.37,NA,0.31333333333333335,75.33333333333333,31.17,15.87,15.069408937329708,3.71153744479021,71,NA
H.Fit.Fi.NW.18,H,Fit,Fi,NW,18,1,3,18.88,1.37,53.44333333333333,0.9633333333333334,329.0833333333333,31.17,15.87,15.069408937329708,6.081636405596078,20.25,1.9328
H.Fit.Fi.NW.18,H,Fit,Fi,NW,18,3,2,18.88,1.37,54.776666666666664,0.6066666666666667,356.0833333333333,31.17,15.87,15.069408937329708,4.931969619162023,216.25,1.3584
H.Fit.Fi.NW.18,H,Fit,Fi,NW,18,3,3,18.88,1.37,67.92,0.63,407.1666666666667,31.17,15.87,15.069408937329708,14.999999999988061,27.02,1.4672
